warehouse_id,name,location,capacity
56,Storage Facility H - 5308 River Way,Storage Facility H - 5308 River Way,33039.74
57,Fulfillment Center Q - 2066 Second Way,Fulfillment Center Q - 2066 Second Way,11340.79
58,Supply Chain Hub Q - 1464 Oak Way,Supply Chain Hub Q - 1464 Oak Way,8998.7
59,Distribution Center S - 2659 Valley Way,Distribution Center S - 2659 Valley Way,48662.32
60,Regional Warehouse S - 1095 High Place,Regional Warehouse S - 1095 High Place,49583.61
61,Central Depot W - 853 Lake Street,Central Depot W - 853 Lake Street,32513.31
62,Logistics Hub Y - 1109 Hill Street,Logistics Hub Y - 1109 Hill Street,40337.45
63,Storage Facility D - 7183 Maple Boulevard,Storage Facility D - 7183 Maple Boulevard,44958.23
64,Regional Warehouse Z - 3111 Market Avenue,Regional Warehouse Z - 3111 Market Avenue,23056.74
65,Distribution Center L - 2617 High Boulevard,Distribution Center L - 2617 High Boulevard,14742.77
66,Distribution Center N - 2018 Church Circle,Distribution Center N - 2018 Church Circle,13850.97
67,Regional Warehouse D - 3704 Fourth Place,Regional Warehouse D - 3704 Fourth Place,40098.86
68,Storage Facility K - 3017 Elm Drive,Storage Facility K - 3017 Elm Drive,28513.36
69,Storage Facility A - 2922 Lake Road,Storage Facility A - 2922 Lake Road,47036.93
70,Distribution Center E - 289 Elm Court,Distribution Center E - 289 Elm Court,32418.77
71,Supply Chain Hub N - 8024 Hill Circle,Supply Chain Hub N - 8024 Hill Circle,17664.17
72,Logistics Hub V - 7819 Third Road,Logistics Hub V - 7819 Third Road,9211.53
73,Storage Facility S - 3132 Market Court,Storage Facility S - 3132 Market Court,34794.29
74,Supply Chain Hub A - 6173 First Way,Supply Chain Hub A - 6173 First Way,16521.61
75,Logistics Hub E - 8152 Park Street,Logistics Hub E - 8152 Park Street,42578.91
76,Supply Chain Hub N - 6679 Oak Court,Supply Chain Hub N - 6679 Oak Court,26432.01
77,Regional Warehouse E - 5756 Maple Drive,Regional Warehouse E - 5756 Maple Drive,3628.6
78,Supply Chain Hub J - 2227 Church Way,Supply Chain Hub J - 2227 Church Way,14549.34
79,Central Depot M - 5165 Cedar Avenue,Central Depot M - 5165 Cedar Avenue,16599.34
80,Processing Center F - 1599 High Court,Processing Center F - 1599 High Court,32662.51
81,Supply Chain Hub K - 1758 Washington Drive,Supply Chain Hub K - 1758 Washington Drive,15304.34
82,Regional Warehouse Y - 9027 Oak Road,Regional Warehouse Y - 9027 Oak Road,42539.22
83,Fulfillment Center X - 7374 Lake Road,Fulfillment Center X - 7374 Lake Road,9700.49
84,Distribution Center P - 7781 Elm Boulevard,Distribution Center P - 7781 Elm Boulevard,39679.51
85,Fulfillment Center D - 6025 School Circle,Fulfillment Center D - 6025 School Circle,33838.84
86,Central Depot R - 7389 Pine Drive,Central Depot R - 7389 Pine Drive,42909.24
87,Logistics Hub J - 3865 River Place,Logistics Hub J - 3865 River Place,10769.1
88,Logistics Hub E - 6899 Lake Drive,Logistics Hub E - 6899 Lake Drive,38440.52
89,Supply Chain Hub J - 3026 Maple Street,Supply Chain Hub J - 3026 Maple Street,16016.92
90,Regional Warehouse E - 1490 Fourth Way,Regional Warehouse E - 1490 Fourth Way,35422.91
91,Storage Facility C - 8591 Third Court,Storage Facility C - 8591 Third Court,23538.97
92,Fulfillment Center T - 6709 Second Court,Fulfillment Center T - 6709 Second Court,38508.12
93,Logistics Hub N - 8635 Main Lane,Logistics Hub N - 8635 Main Lane,33138.89
94,Regional Warehouse O - 4420 Market Way,Regional Warehouse O - 4420 Market Way,17985.51
95,Distribution Center T - 2636 Valley Circle,Distribution Center T - 2636 Valley Circle,32189.18
96,Supply Chain Hub Y - 7336 Second Street,Supply Chain Hub Y - 7336 Second Street,24803.05
97,Storage Facility V - 613 Church Avenue,Storage Facility V - 613 Church Avenue,11657.47
98,Regional Warehouse C - 6948 Maple Way,Regional Warehouse C - 6948 Maple Way,4104.98
99,Supply Chain Hub T - 8354 Oak Road,Supply Chain Hub T - 8354 Oak Road,22143.91
100,Processing Center A - 5458 River Way,Processing Center A - 5458 River Way,15692.46
101,Logistics Hub Z - 3599 Maple Way,Logistics Hub Z - 3599 Maple Way,37275.45
102,Fulfillment Center D - 4656 Pine Circle,Fulfillment Center D - 4656 Pine Circle,10432.37
103,Regional Warehouse O - 2004 High Street,Regional Warehouse O - 2004 High Street,34013.94
104,Supply Chain Hub A - 9053 Second Place,Supply Chain Hub A - 9053 Second Place,38351.79
105,Regional Warehouse V - 905 Third Place,Regional Warehouse V - 905 Third Place,26515.26
106,Distribution Center B - 8814 First Place,Distribution Center B - 8814 First Place,37784.28
107,Supply Chain Hub Q - 1849 Cedar Lane,Supply Chain Hub Q - 1849 Cedar Lane,35760.38
108,Fulfillment Center I - 1612 Second Way,Fulfillment Center I - 1612 Second Way,36297.67
109,Central Depot Z - 7531 First Court,Central Depot Z - 7531 First Court,10987.88
110,Central Depot E - 3287 First Way,Central Depot E - 3287 First Way,28328.52
111,Distribution Center I - 1524 River Road,Distribution Center I - 1524 River Road,35619.55
112,Logistics Hub D - 522 Market Street,Logistics Hub D - 522 Market Street,45375.77
113,Fulfillment Center R - 4391 Fourth Lane,Fulfillment Center R - 4391 Fourth Lane,21601.25
114,Distribution Center Z - 1961 Washington Drive,Distribution Center Z - 1961 Washington Drive,23343.15
115,Fulfillment Center F - 8930 Maple Drive,Fulfillment Center F - 8930 Maple Drive,30995.86
116,Central Depot R - 5696 Elm Avenue,Central Depot R - 5696 Elm Avenue,45925.79
117,Distribution Center P - 5055 Lake Avenue,Distribution Center P - 5055 Lake Avenue,49738.36
118,Central Depot T - 3686 Washington Avenue,Central Depot T - 3686 Washington Avenue,16910.84
119,Supply Chain Hub Y - 5324 Elm Court,Supply Chain Hub Y - 5324 Elm Court,48132.15
120,Logistics Hub W - 7085 Oak Road,Logistics Hub W - 7085 Oak Road,12296.2
121,Storage Facility L - 6065 First Lane,Storage Facility L - 6065 First Lane,24372.32
122,Logistics Hub F - 5255 High Drive,Logistics Hub F - 5255 High Drive,7339.24
123,Regional Warehouse W - 6166 Maple Lane,Regional Warehouse W - 6166 Maple Lane,42551.91
124,Regional Warehouse W - 4419 River Court,Regional Warehouse W - 4419 River Court,45634.56
125,Fulfillment Center J - 3961 Fourth Circle,Fulfillment Center J - 3961 Fourth Circle,39198.16
126,Fulfillment Center V - 8508 Park Lane,Fulfillment Center V - 8508 Park Lane,20531.13
127,Distribution Center Q - 7529 Market Drive,Distribution Center Q - 7529 Market Drive,2702.44
128,Storage Facility D - 7118 Pine Place,Storage Facility D - 7118 Pine Place,44101.83
129,Storage Facility M - 1141 School Avenue,Storage Facility M - 1141 School Avenue,34479.28
130,Regional Warehouse L - 4558 Market Drive,Regional Warehouse L - 4558 Market Drive,26759.76
131,Distribution Center N - 8280 Valley Circle,Distribution Center N - 8280 Valley Circle,14444.76
132,Fulfillment Center Y - 5042 Pine Avenue,Fulfillment Center Y - 5042 Pine Avenue,46699.37
133,Supply Chain Hub G - 2566 Third Place,Supply Chain Hub G - 2566 Third Place,37008.16
134,Logistics Hub O - 7975 Washington Way,Logistics Hub O - 7975 Washington Way,16562.62
135,Central Depot T - 8177 First Court,Central Depot T - 8177 First Court,21719.06
136,Storage Facility L - 1429 Maple Boulevard,Storage Facility L - 1429 Maple Boulevard,18996.42
137,Central Depot K - 483 Oak Place,Central Depot K - 483 Oak Place,29078.78
138,Processing Center F - 6159 Cedar Circle,Processing Center F - 6159 Cedar Circle,8447.07
139,Storage Facility U - 337 Elm Place,Storage Facility U - 337 Elm Place,18936.76
140,Distribution Center H - 7614 Pine Drive,Distribution Center H - 7614 Pine Drive,37288.72
141,Central Depot P - 3511 Elm Street,Central Depot P - 3511 Elm Street,11145.7
142,Supply Chain Hub Z - 7977 Oak Court,Supply Chain Hub Z - 7977 Oak Court,42952.23
143,Storage Facility M - 8017 Second Way,Storage Facility M - 8017 Second Way,25202.84
144,Regional Warehouse R - 5884 School Lane,Regional Warehouse R - 5884 School Lane,31873.07
145,Regional Warehouse X - 5831 Third Way,Regional Warehouse X - 5831 Third Way,19392.81
146,Fulfillment Center U - 4381 Fourth Way,Fulfillment Center U - 4381 Fourth Way,36816.45
147,Central Depot Z - 5397 Oak Street,Central Depot Z - 5397 Oak Street,3490.65
148,Supply Chain Hub E - 4694 Second Place,Supply Chain Hub E - 4694 Second Place,39923.65
149,Central Depot D - 3198 High Road,Central Depot D - 3198 High Road,19992.98
150,Central Depot U - 1044 Cedar Drive,Central Depot U - 1044 Cedar Drive,40232.81
151,Supply Chain Hub H - 6651 Hill Court,Supply Chain Hub H - 6651 Hill Court,43294.42
152,Fulfillment Center V - 2941 Park Court,Fulfillment Center V - 2941 Park Court,6388.47
153,Processing Center G - 4953 High Circle,Processing Center G - 4953 High Circle,42740.33
154,Storage Facility G - 1526 Maple Way,Storage Facility G - 1526 Maple Way,39244.64
155,Central Depot G - 1755 Third Place,Central Depot G - 1755 Third Place,38944.51
156,Distribution Center F - 3756 Oak Circle,Distribution Center F - 3756 Oak Circle,11727.34
157,Logistics Hub M - 593 Lake Court,Logistics Hub M - 593 Lake Court,26040.24
158,Regional Warehouse R - 5462 Maple Lane,Regional Warehouse R - 5462 Maple Lane,43233.44
159,Central Depot G - 6109 Maple Lane,Central Depot G - 6109 Maple Lane,23973.1
160,Central Depot F - 5108 Third Boulevard,Central Depot F - 5108 Third Boulevard,27912.21
161,Processing Center Q - 1929 River Circle,Processing Center Q - 1929 River Circle,25135.51
162,Logistics Hub A - 7246 River Lane,Logistics Hub A - 7246 River Lane,1774.89
163,Central Depot L - 8791 Maple Avenue,Central Depot L - 8791 Maple Avenue,36933.47
164,Fulfillment Center G - 5843 Maple Circle,Fulfillment Center G - 5843 Maple Circle,5198.74
165,Distribution Center Z - 124 Cedar Street,Distribution Center Z - 124 Cedar Street,48251.99
166,Storage Facility T - 4032 Elm Road,Storage Facility T - 4032 Elm Road,9477.81
167,Distribution Center B - 8990 Washington Avenue,Distribution Center B - 8990 Washington Avenue,13670.98
168,Fulfillment Center S - 4117 Fourth Place,Fulfillment Center S - 4117 Fourth Place,25375.4
169,Logistics Hub Y - 4092 Third Road,Logistics Hub Y - 4092 Third Road,15196.72
170,Logistics Hub M - 914 Second Road,Logistics Hub M - 914 Second Road,45831.34
171,Storage Facility Y - 9045 Second Avenue,Storage Facility Y - 9045 Second Avenue,1734.4
172,Processing Center S - 6871 Second Drive,Processing Center S - 6871 Second Drive,47554.53
173,Central Depot R - 7951 Maple Drive,Central Depot R - 7951 Maple Drive,25009.72
174,Regional Warehouse Y - 4704 Third Boulevard,Regional Warehouse Y - 4704 Third Boulevard,20814.57
175,Supply Chain Hub J - 2449 River Drive,Supply Chain Hub J - 2449 River Drive,36161.73
176,Central Depot A - 2103 First Avenue,Central Depot A - 2103 First Avenue,18182.13
177,Logistics Hub L - 3355 School Boulevard,Logistics Hub L - 3355 School Boulevard,3653.05
178,Supply Chain Hub H - 8610 High Boulevard,Supply Chain Hub H - 8610 High Boulevard,13806.7
179,Storage Facility M - 4826 Hill Street,Storage Facility M - 4826 Hill Street,3320.01
180,Storage Facility L - 6177 Hill Lane,Storage Facility L - 6177 Hill Lane,9718.13
181,Supply Chain Hub E - 3088 Market Boulevard,Supply Chain Hub E - 3088 Market Boulevard,28726.44
182,Supply Chain Hub C - 5376 Cedar Road,Supply Chain Hub C - 5376 Cedar Road,29906.48
183,Logistics Hub K - 4940 Fourth Drive,Logistics Hub K - 4940 Fourth Drive,29291.63
184,Processing Center C - 6913 Maple Way,Processing Center C - 6913 Maple Way,1301.31
185,Regional Warehouse I - 4075 Second Drive,Regional Warehouse I - 4075 Second Drive,1639.4
186,Processing Center S - 4705 Park Avenue,Processing Center S - 4705 Park Avenue,19076.89
187,Logistics Hub M - 3004 High Court,Logistics Hub M - 3004 High Court,4380.74
188,Regional Warehouse G - 7774 Cedar Avenue,Regional Warehouse G - 7774 Cedar Avenue,2542.79
189,Storage Facility D - 8265 Church Lane,Storage Facility D - 8265 Church Lane,46442.73
190,Fulfillment Center U - 4299 Washington Avenue,Fulfillment Center U - 4299 Washington Avenue,8468.41
191,Regional Warehouse I - 5571 Market Place,Regional Warehouse I - 5571 Market Place,17347.87
192,Processing Center T - 3998 Hill Circle,Processing Center T - 3998 Hill Circle,42992.65
193,Central Depot V - 8027 Cedar Place,Central Depot V - 8027 Cedar Place,31304.39
194,Fulfillment Center I - 4065 Third Circle,Fulfillment Center I - 4065 Third Circle,37989.13
195,Supply Chain Hub Q - 882 Washington Court,Supply Chain Hub Q - 882 Washington Court,35937.62
196,Supply Chain Hub K - 877 Fourth Road,Supply Chain Hub K - 877 Fourth Road,25646.71
197,Processing Center T - 4981 Maple Lane,Processing Center T - 4981 Maple Lane,1359.85
198,Distribution Center U - 7833 Second Way,Distribution Center U - 7833 Second Way,17216.13
199,Regional Warehouse J - 5546 High Court,Regional Warehouse J - 5546 High Court,42149.81
200,Regional Warehouse D - 600 Third Circle,Regional Warehouse D - 600 Third Circle,42268.24
201,Processing Center L - 366 Fourth Place,Processing Center L - 366 Fourth Place,37614.51
202,Fulfillment Center U - 6569 Pine Circle,Fulfillment Center U - 6569 Pine Circle,1635.5
203,Supply Chain Hub O - 2974 Main Way,Supply Chain Hub O - 2974 Main Way,48720.77
204,Storage Facility B - 2819 Washington Boulevard,Storage Facility B - 2819 Washington Boulevard,22566.73
205,Distribution Center W - 4797 Pine Court,Distribution Center W - 4797 Pine Court,29162.22
206,Supply Chain Hub D - 4280 Park Street,Supply Chain Hub D - 4280 Park Street,17996.94
207,Distribution Center A - 5185 Hill Drive,Distribution Center A - 5185 Hill Drive,12464.26
208,Central Depot Y - 689 Fourth Court,Central Depot Y - 689 Fourth Court,31587
209,Central Depot E - 5107 Elm Avenue,Central Depot E - 5107 Elm Avenue,45539.11
210,Regional Warehouse S - 6321 Hill Place,Regional Warehouse S - 6321 Hill Place,11728.35
211,Logistics Hub B - 8606 School Drive,Logistics Hub B - 8606 School Drive,26893.69
212,Fulfillment Center K - 3259 School Court,Fulfillment Center K - 3259 School Court,7910.25
213,Storage Facility I - 3007 Pine Circle,Storage Facility I - 3007 Pine Circle,42679.02
214,Fulfillment Center A - 5633 Hill Avenue,Fulfillment Center A - 5633 Hill Avenue,41003.63
215,Supply Chain Hub N - 7573 Church Court,Supply Chain Hub N - 7573 Church Court,1476.24
216,Logistics Hub W - 5997 Main Place,Logistics Hub W - 5997 Main Place,46249.55
217,Distribution Center R - 9041 First Circle,Distribution Center R - 9041 First Circle,45965.54
218,Regional Warehouse D - 473 Oak Drive,Regional Warehouse D - 473 Oak Drive,31318.88
219,Fulfillment Center X - 3227 High Drive,Fulfillment Center X - 3227 High Drive,46110.3
220,Logistics Hub F - 6223 Maple Circle,Logistics Hub F - 6223 Maple Circle,3493.16
221,Storage Facility K - 3117 School Street,Storage Facility K - 3117 School Street,20840.01
222,Supply Chain Hub M - 4032 Market Boulevard,Supply Chain Hub M - 4032 Market Boulevard,7444.04
223,Logistics Hub J - 1520 Washington Court,Logistics Hub J - 1520 Washington Court,20168.75
224,Processing Center V - 8545 Park Avenue,Processing Center V - 8545 Park Avenue,17080.39
225,Supply Chain Hub D - 5741 Fourth Circle,Supply Chain Hub D - 5741 Fourth Circle,24733.5
226,Regional Warehouse M - 5900 Park Circle,Regional Warehouse M - 5900 Park Circle,5603.24
227,Distribution Center H - 4022 Main Court,Distribution Center H - 4022 Main Court,29470.3
228,Storage Facility P - 442 Fourth Court,Storage Facility P - 442 Fourth Court,29276.68
229,Logistics Hub E - 2615 Second Road,Logistics Hub E - 2615 Second Road,26847.86
230,Distribution Center F - 665 Church Road,Distribution Center F - 665 Church Road,6319.48
231,Regional Warehouse X - 4209 Cedar Boulevard,Regional Warehouse X - 4209 Cedar Boulevard,3744.28
232,Storage Facility J - 8470 Park Avenue,Storage Facility J - 8470 Park Avenue,45259.76
233,Central Depot S - 2435 Fourth Place,Central Depot S - 2435 Fourth Place,35517.43
234,Logistics Hub T - 5085 Maple Road,Logistics Hub T - 5085 Maple Road,28813.1
235,Fulfillment Center Q - 6359 Third Street,Fulfillment Center Q - 6359 Third Street,13175.03
236,Distribution Center L - 7198 Third Place,Distribution Center L - 7198 Third Place,6000.75
237,Supply Chain Hub F - 2593 Maple Road,Supply Chain Hub F - 2593 Maple Road,39740.3
238,Logistics Hub B - 2322 Cedar Drive,Logistics Hub B - 2322 Cedar Drive,3305.18
239,Logistics Hub C - 7556 Hill Road,Logistics Hub C - 7556 Hill Road,11535.15
240,Logistics Hub X - 6081 First Avenue,Logistics Hub X - 6081 First Avenue,21243.07
241,Processing Center M - 1907 Park Circle,Processing Center M - 1907 Park Circle,25494.76
242,Distribution Center A - 3127 School Road,Distribution Center A - 3127 School Road,2152.52
243,Distribution Center Y - 5908 Fourth Court,Distribution Center Y - 5908 Fourth Court,12409.73
244,Storage Facility D - 6191 Fourth Way,Storage Facility D - 6191 Fourth Way,14699.95
245,Storage Facility C - 2137 Cedar Avenue,Storage Facility C - 2137 Cedar Avenue,39896.43
246,Distribution Center Z - 4862 Elm Boulevard,Distribution Center Z - 4862 Elm Boulevard,20401.24
247,Logistics Hub R - 4833 Elm Drive,Logistics Hub R - 4833 Elm Drive,48983.43
248,Central Depot A - 1441 Pine Circle,Central Depot A - 1441 Pine Circle,12263.98
249,Storage Facility I - 6409 Main Circle,Storage Facility I - 6409 Main Circle,36510.4
250,Supply Chain Hub Q - 8709 School Place,Supply Chain Hub Q - 8709 School Place,46518.17
251,Fulfillment Center V - 7361 Third Drive,Fulfillment Center V - 7361 Third Drive,36902.84
252,Regional Warehouse O - 2268 Valley Circle,Regional Warehouse O - 2268 Valley Circle,21291.93
253,Fulfillment Center E - 8893 Cedar Way,Fulfillment Center E - 8893 Cedar Way,25721.62
254,Fulfillment Center C - 1996 Cedar Drive,Fulfillment Center C - 1996 Cedar Drive,24713.4
255,Processing Center V - 1483 Second Circle,Processing Center V - 1483 Second Circle,41184.8
256,Regional Warehouse E - 2101 School Street,Regional Warehouse E - 2101 School Street,13164.78
257,Distribution Center A - 3441 Lake Way,Distribution Center A - 3441 Lake Way,44855.16
258,Regional Warehouse A - 4354 Valley Avenue,Regional Warehouse A - 4354 Valley Avenue,42382.32
259,Regional Warehouse S - 4924 Lake Drive,Regional Warehouse S - 4924 Lake Drive,23687.81
260,Fulfillment Center V - 4937 Cedar Drive,Fulfillment Center V - 4937 Cedar Drive,12251.4
261,Central Depot A - 5746 Elm Drive,Central Depot A - 5746 Elm Drive,6093.19
262,Logistics Hub N - 4963 Third Drive,Logistics Hub N - 4963 Third Drive,41638.02
263,Supply Chain Hub U - 3016 High Boulevard,Supply Chain Hub U - 3016 High Boulevard,17689.97
264,Logistics Hub J - 1882 School Boulevard,Logistics Hub J - 1882 School Boulevard,40545.2
265,Distribution Center B - 2380 Market Avenue,Distribution Center B - 2380 Market Avenue,17196.16
266,Central Depot R - 6472 Maple Road,Central Depot R - 6472 Maple Road,24049.85
267,Storage Facility J - 5378 Fourth Avenue,Storage Facility J - 5378 Fourth Avenue,7131.99
268,Processing Center E - 6236 First Street,Processing Center E - 6236 First Street,37809.73
269,Fulfillment Center R - 2250 Park Way,Fulfillment Center R - 2250 Park Way,16226.03
270,Processing Center N - 1523 River Street,Processing Center N - 1523 River Street,18373.09
271,Processing Center C - 4164 Second Place,Processing Center C - 4164 Second Place,14738.95
272,Storage Facility U - 5430 Church Circle,Storage Facility U - 5430 Church Circle,10808.3
273,Regional Warehouse P - 8877 Hill Street,Regional Warehouse P - 8877 Hill Street,38960.96
274,Processing Center H - 8286 High Way,Processing Center H - 8286 High Way,7956.06
275,Processing Center T - 5087 School Avenue,Processing Center T - 5087 School Avenue,22216.47
276,Central Depot O - 945 Washington Way,Central Depot O - 945 Washington Way,40588.91
277,Distribution Center S - 4483 School Lane,Distribution Center S - 4483 School Lane,41804.65
278,Storage Facility G - 1872 Main Court,Storage Facility G - 1872 Main Court,38664.47
279,Fulfillment Center X - 2415 River Boulevard,Fulfillment Center X - 2415 River Boulevard,26727.66
280,Regional Warehouse D - 4723 River Court,Regional Warehouse D - 4723 River Court,18608.34
281,Fulfillment Center W - 2332 Fourth Circle,Fulfillment Center W - 2332 Fourth Circle,1800.36
282,Distribution Center Q - 6950 Maple Street,Distribution Center Q - 6950 Maple Street,8377.09
283,Logistics Hub M - 6421 Hill Drive,Logistics Hub M - 6421 Hill Drive,45183.58
284,Fulfillment Center F - 5217 Second Avenue,Fulfillment Center F - 5217 Second Avenue,41888.35
285,Processing Center X - 6089 Third Avenue,Processing Center X - 6089 Third Avenue,39882.5
286,Storage Facility G - 1953 Hill Place,Storage Facility G - 1953 Hill Place,10842.43
287,Central Depot C - 6477 Maple Street,Central Depot C - 6477 Maple Street,12796.75
288,Distribution Center G - 8495 Oak Road,Distribution Center G - 8495 Oak Road,5672.48
289,Fulfillment Center E - 1556 Maple Drive,Fulfillment Center E - 1556 Maple Drive,42780.5
290,Supply Chain Hub P - 6342 Church Court,Supply Chain Hub P - 6342 Church Court,24263.86
291,Central Depot E - 688 First Way,Central Depot E - 688 First Way,19687.82
292,Distribution Center U - 6660 Fourth Drive,Distribution Center U - 6660 Fourth Drive,49846.69
293,Distribution Center L - 4055 Lake Circle,Distribution Center L - 4055 Lake Circle,16226.57
294,Supply Chain Hub N - 8375 Main Road,Supply Chain Hub N - 8375 Main Road,27838.24
295,Storage Facility U - 646 Valley Drive,Storage Facility U - 646 Valley Drive,17831.58
296,Regional Warehouse Y - 6366 Maple Court,Regional Warehouse Y - 6366 Maple Court,21091.28
297,Central Depot E - 372 First Drive,Central Depot E - 372 First Drive,10849.09
298,Storage Facility G - 796 Elm Court,Storage Facility G - 796 Elm Court,2930.39
299,Distribution Center U - 1149 Cedar Street,Distribution Center U - 1149 Cedar Street,9284.52
300,Central Depot E - 1147 Park Road,Central Depot E - 1147 Park Road,35592.18
301,Regional Warehouse V - 8125 Fourth Road,Regional Warehouse V - 8125 Fourth Road,24992.24
302,Regional Warehouse J - 939 School Lane,Regional Warehouse J - 939 School Lane,13392.44
303,Central Depot U - 9055 Market Drive,Central Depot U - 9055 Market Drive,22236.48
304,Distribution Center V - 5335 Lake Way,Distribution Center V - 5335 Lake Way,1468.37
305,Processing Center K - 4595 Pine Drive,Processing Center K - 4595 Pine Drive,49555.42
306,Supply Chain Hub Z - 135 Market Avenue,Supply Chain Hub Z - 135 Market Avenue,8299.19
307,Logistics Hub X - 395 First Place,Logistics Hub X - 395 First Place,4791.8
308,Central Depot U - 5024 Pine Circle,Central Depot U - 5024 Pine Circle,30256.71
309,Processing Center P - 4052 Washington Lane,Processing Center P - 4052 Washington Lane,14570.62
310,Storage Facility V - 4698 Pine Drive,Storage Facility V - 4698 Pine Drive,28167.92
