retailer_id,name,location,contact
114,Eco Market Store 8,Processing Center F - 2641 High Drive,(579) 840-4765
115,Country Fresh Store Store 8,Red Barn Farm - 5449 County Road 62,(693) 797-7140
116,Harvest Market Store 8,Storage Facility G - 7891 Second Street,(133) 948-3110
117,Green Valley Grocery Store 8,8270 Pine Drive Apt 163,(941) 546-9787
118,Sustainable Foods Co Store 8,8272 Main Drive,(126) 429-3753
119,Farm Fresh Market Store 8,Fulfillment Center W - 104 Church Drive,(881) 896-9490
120,Natural Choice Store Store 8,184 First Boulevard,(378) 904-8096
121,Fresh Market Store 9,Willow Creek Farm - 3627 County Road 482,(855) 380-8238
122,Green Grocers Store 9,Mountain View Farm - 9404 County Road 364,(734) 571-7821
123,Organic Foods Store Store 9,6400 Hill Road Apt 256,(620) 617-5083
124,Farm to Table Market Store 9,Regional Warehouse M - 1079 High Place,(365) 831-3855
125,Nature's Basket Store 9,Processing Center W - 1997 Valley Way,(191) 174-5627
126,Healthy Harvest Store 9,Central Depot S - 6009 Church Road,(366) 606-9004
127,Pure Foods Market Store 9,Distribution Center K - 6648 Pine Lane,(718) 542-2537
128,Local Farmers Market Store 9,Distribution Center P - 8192 Cedar Road,(940) 246-7824
129,Eco Market Store 9,9201 Cedar Place,(285) 974-2142
130,Country Fresh Store Store 9,Distribution Center K - 4823 Washington Boulevard,(292) 727-6368
131,Harvest Market Store 9,Silver Lake Farm - 9799 County Road 185,(944) 380-2038
132,Green Valley Grocery Store 9,Storage Facility Q - 128 Valley Circle,(659) 682-3691
133,Sustainable Foods Co Store 9,Pine Creek Farm - 6854 County Road 474,(643) 228-8476
134,Farm Fresh Market Store 9,Willow Creek Farm - 6581 County Road 390,(856) 899-3568
135,Natural Choice Store Store 9,Processing Center O - 1249 Third Court,(666) 191-2885
136,Fresh Market Store 10,2839 Main Avenue,(845) 540-8648
137,Green Grocers Store 10,Distribution Center Y - 5908 Fourth Court,(867) 292-3134
138,Organic Foods Store Store 10,Processing Center I - 881 Pine Place,(873) 398-4212
139,Farm to Table Market Store 10,2485 Maple Road,(746) 516-7092
140,Nature's Basket Store 10,Central Depot E - 372 First Drive,(453) 610-5287
141,Healthy Harvest Store 10,Sunset Farm - 9202 County Road 70,(785) 654-6139
142,Pure Foods Market Store 10,Distribution Center A - 2887 Park Boulevard,(947) 573-2732
143,Local Farmers Market Store 10,Hilltop Farm - 1613 County Road 346,(630) 539-8625
144,Eco Market Store 10,4013 Market Road,(648) 552-1857
145,Country Fresh Store Store 10,Maple Grove Farm - 5891 County Road 318,(507) 398-1901
146,Harvest Market Store 10,5471 Lake Street Apt 308,(696) 972-6651
147,Green Valley Grocery Store 10,Regional Warehouse D - 8550 Third Circle,(990) 570-5029
148,Sustainable Foods Co Store 10,Pine Creek Farm - 3759 County Road 275,(633) 497-8958
149,Farm Fresh Market Store 10,Windmill Farm - 6763 County Road 475,(439) 495-5537
150,Natural Choice Store Store 10,4753 Lake Circle,(997) 155-3683
151,Fresh Market Store 11,2789 Fourth Way,(115) 833-7257
152,Green Grocers Store 11,7561 First Circle,(261) 471-8383
153,Organic Foods Store Store 11,1174 Cedar Circle,(824) 601-4175
154,Farm to Table Market Store 11,Sunny Meadow Farm - 4832 County Road 340,(366) 424-2648
155,Nature's Basket Store 11,Supply Chain Hub Q - 440 Main Place,(583) 960-5257
156,Healthy Harvest Store 11,Supply Chain Hub J - 2227 Church Way,(456) 756-6048
157,Pure Foods Market Store 11,1831 Third Street Apt 191,(141) 348-3609
158,Local Farmers Market Store 11,Valley View Farm - 6212 County Road 318,(704) 986-6988
159,Eco Market Store 11,Cedar Valley Farm - 5954 County Road 94,(932) 115-9677
160,Country Fresh Store Store 11,Blue Sky Farm - 5405 County Road 114,(978) 864-5144
161,Harvest Market Store 11,Regional Warehouse H - 4209 Pine Avenue,(480) 330-4429
162,Green Valley Grocery Store 11,Heritage Farm - 2741 County Road 345,(449) 166-7244
163,Sustainable Foods Co Store 11,4398 Market Court,(117) 134-9591
164,Farm Fresh Market Store 11,Regional Warehouse X - 5831 Third Way,(700) 736-6904
165,Natural Choice Store Store 11,Processing Center R - 7722 Lake Circle,(645) 179-4470
166,Fresh Market Store 12,Sunny Meadow Farm - 8314 County Road 5,(357) 380-4101
167,Green Grocers Store 12,Spring Valley Farm - 1976 County Road 206,(157) 544-4106
168,Organic Foods Store Store 12,Distribution Center S - 1507 Third Lane,(850) 926-3166
169,Farm to Table Market Store 12,4827 Park Lane,(585) 915-9778
170,Nature's Basket Store 12,Distribution Center Z - 725 High Street,(604) 596-8398
171,Healthy Harvest Store 12,Red Barn Farm - 1534 County Road 405,(128) 700-3740
172,Pure Foods Market Store 12,Distribution Center M - 4611 Park Circle,(992) 227-3973
173,Local Farmers Market Store 12,Supply Chain Hub L - 2328 Park Lane,(440) 590-4483
174,Eco Market Store 12,3141 Fourth Circle,(408) 855-6263
175,Country Fresh Store Store 12,Pine Creek Farm - 2437 County Road 4,(503) 608-7923
176,Harvest Market Store 12,3820 Main Road,(438) 200-3516
177,Green Valley Grocery Store 12,9318 River Way Apt 349,(703) 553-4210
178,Sustainable Foods Co Store 12,Spring Valley Farm - 5807 County Road 195,(202) 568-7041
179,Farm Fresh Market Store 12,Central Depot N - 8675 Second Drive,(956) 536-1573
180,Natural Choice Store Store 12,2818 Pine Lane Apt 306,(165) 735-5643
181,Fresh Market Store 13,Riverdale Farm - 2195 County Road 215,(606) 282-3430
182,Green Grocers Store 13,4997 Pine Street,(676) 917-5323
183,Organic Foods Store Store 13,Valley View Farm - 3523 County Road 377,(777) 961-5450
184,Farm to Table Market Store 13,2998 Third Circle Apt 267,(920) 408-8314
185,Nature's Basket Store 13,Sunset Farm - 1589 County Road 137,(739) 691-8394
186,Healthy Harvest Store 13,Distribution Center E - 8036 River Street,(563) 873-8385
187,Pure Foods Market Store 13,3808 Pine Avenue Apt 57,(194) 202-9779
188,Local Farmers Market Store 13,Logistics Hub N - 6145 Valley Circle,(896) 968-7052
189,Eco Market Store 13,9585 Washington Street,(315) 396-3477
190,Country Fresh Store Store 13,1725 Lake Avenue Apt 37,(870) 367-1818
191,Harvest Market Store 13,Countryside Farm - 4526 County Road 57,(980) 919-3139
192,Green Valley Grocery Store 13,4293 School Street,(545) 199-9955
193,Sustainable Foods Co Store 13,Fulfillment Center H - 8692 Church Circle,(620) 726-2712
194,Farm Fresh Market Store 13,Central Depot G - 8871 Cedar Court,(891) 866-6543
195,Natural Choice Store Store 13,Riverside Farm - 7697 County Road 332,(710) 186-1743
196,Fresh Market Store 14,Pleasant Hill Farm - 1084 County Road 363,(835) 969-2340
197,Green Grocers Store 14,Oakwood Farm - 6742 County Road 39,(451) 575-1325
198,Organic Foods Store Store 14,Valley View Farm - 1609 County Road 406,(920) 463-3227
199,Farm to Table Market Store 14,9274 First Boulevard,(302) 447-4352
200,Nature's Basket Store 14,Central Depot M - 3901 Valley Lane,(527) 687-8661
201,Healthy Harvest Store 14,Distribution Center G - 3561 Church Way,(239) 231-2946
202,Pure Foods Market Store 14,976 River Avenue,(774) 901-5916
203,Local Farmers Market Store 14,Distribution Center F - 665 Church Road,(506) 368-6843
204,Eco Market Store 14,Silver Lake Farm - 1660 County Road 462,(315) 245-1333
205,Country Fresh Store Store 14,Distribution Center Q - 8430 Washington Circle,(417) 617-8744
206,Harvest Market Store 14,Central Depot V - 5374 Lake Road,(758) 801-6447
207,Green Valley Grocery Store 14,6343 Pine Street Apt 346,(922) 513-9748
208,Sustainable Foods Co Store 14,Meadowbrook Farm - 5634 County Road 1,(446) 244-7459
209,Farm Fresh Market Store 14,Logistics Hub F - 1904 Park Avenue,(821) 347-9509
210,Natural Choice Store Store 14,3362 Washington Avenue Apt 253,(945) 493-2261
211,Fresh Market Store 15,Logistics Hub H - 1145 Cedar Boulevard,(478) 129-2510
212,Green Grocers Store 15,Supply Chain Hub C - 2280 Main Lane,(873) 666-2707
213,Organic Foods Store Store 15,Golden Fields Farm - 7224 County Road 60,(328) 146-3091
214,Farm to Table Market Store 15,Processing Center B - 3869 Elm Drive,(506) 181-6316
215,Nature's Basket Store 15,Storage Facility G - 8243 Valley Court,(387) 103-2144
216,Healthy Harvest Store 15,5645 Park Court Apt 335,(136) 388-2954
217,Pure Foods Market Store 15,Processing Center N - 3276 Main Avenue,(829) 987-8313
218,Local Farmers Market Store 15,2354 Pine Avenue Apt 468,(214) 658-9000
219,Eco Market Store 15,Distribution Center N - 1646 Church Way,(775) 452-8842
220,Country Fresh Store Store 15,Distribution Center C - 1970 Church Road,(289) 479-2986
221,Harvest Market Store 15,2307 Pine Circle,(904) 137-9073
222,Green Valley Grocery Store 15,Central Depot S - 1262 Lake Avenue,(752) 108-7307
223,Sustainable Foods Co Store 15,4293 Park Circle,(130) 854-2899
224,Farm Fresh Market Store 15,1582 Oak Place,(566) 773-5419
225,Natural Choice Store Store 15,2215 River Avenue Apt 319,(233) 405-9680
226,Fresh Market Store 16,5904 Market Boulevard Apt 84,(666) 303-3340
227,Green Grocers Store 16,Fulfillment Center Z - 8654 Market Way,(415) 271-3268
228,Organic Foods Store Store 16,Red Barn Farm - 2040 County Road 299,(482) 374-9653
229,Farm to Table Market Store 16,Logistics Hub Y - 5762 Hill Drive,(789) 429-4806
230,Nature's Basket Store 16,Supply Chain Hub L - 4847 Church Court,(468) 292-3187
231,Healthy Harvest Store 16,2013 First Court Apt 181,(914) 559-7410
232,Pure Foods Market Store 16,Fulfillment Center J - 3961 Fourth Circle,(790) 557-8548
233,Local Farmers Market Store 16,Distribution Center H - 4022 Main Court,(500) 739-1922
234,Eco Market Store 16,Supply Chain Hub D - 1315 Valley Avenue,(336) 667-1391
235,Country Fresh Store Store 16,Rolling Hills Farm - 9493 County Road 471,(647) 953-9194
236,Harvest Market Store 16,6270 Hill Street,(213) 156-1612
237,Green Valley Grocery Store 16,Processing Center L - 6073 Market Circle,(149) 479-8805
238,Sustainable Foods Co Store 16,Sunset Farm - 1092 County Road 59,(729) 533-3401
239,Farm Fresh Market Store 16,Processing Center Z - 7438 Third Boulevard,(120) 974-9538
240,Natural Choice Store Store 16,9768 Valley Place Apt 407,(820) 672-1683
241,Fresh Market Store 17,Supply Chain Hub S - 1952 Lake Court,(541) 615-3008
242,Green Grocers Store 17,5355 Washington Street,(697) 425-2651
243,Organic Foods Store Store 17,9138 Third Boulevard Apt 459,(744) 682-7789
244,Farm to Table Market Store 17,5921 Oak Way,(638) 949-8186
245,Nature's Basket Store 17,Supply Chain Hub X - 1714 High Circle,(644) 184-6921
246,Healthy Harvest Store 17,Supply Chain Hub A - 812 Fourth Lane,(711) 129-8205
247,Pure Foods Market Store 17,7818 Oak Court,(616) 615-7187
248,Local Farmers Market Store 17,3597 School Street,(230) 334-4913
249,Eco Market Store 17,Fulfillment Center Y - 6137 Hill Road,(287) 962-8342
250,Country Fresh Store Store 17,Horizon Farm - 6740 County Road 197,(546) 711-4921
251,Harvest Market Store 17,5492 Church Way,(710) 996-4405
252,Green Valley Grocery Store 17,Rolling Hills Farm - 3300 County Road 108,(631) 535-9945
253,Sustainable Foods Co Store 17,Oakwood Farm - 8821 County Road 487,(511) 691-7986
254,Farm Fresh Market Store 17,8529 Oak Place Apt 201,(792) 722-2620
255,Natural Choice Store Store 17,3066 River Boulevard,(954) 399-4959
256,Fresh Market Store 18,4453 Hill Street,(368) 109-5642
257,Green Grocers Store 18,481 Elm Way Apt 491,(408) 270-3748
258,Organic Foods Store Store 18,8928 School Street Apt 132,(529) 552-7050
259,Farm to Table Market Store 18,6461 Elm Road Apt 361,(428) 638-1816
260,Nature's Basket Store 18,Countryside Farm - 7175 County Road 88,(630) 626-1522
261,Healthy Harvest Store 18,5610 Oak Place,(186) 681-1094
262,Pure Foods Market Store 18,8676 First Court Apt 267,(188) 753-3435
263,Local Farmers Market Store 18,5531 First Boulevard,(966) 888-6750
264,Eco Market Store 18,1668 Market Drive,(486) 516-1052
265,Country Fresh Store Store 18,3875 Park Lane Apt 451,(361) 789-8009
266,Harvest Market Store 18,Storage Facility B - 5167 Valley Drive,(118) 194-5047
267,Green Valley Grocery Store 18,Countryside Farm - 6233 County Road 282,(297) 650-3304
268,Sustainable Foods Co Store 18,7697 Oak Road,(335) 671-7533
269,Farm Fresh Market Store 18,Storage Facility I - 4113 Lake Road,(663) 333-1306
270,Natural Choice Store Store 18,Central Depot D - 6987 Cedar Avenue,(101) 927-9982
271,Fresh Market Store 19,6210 River Place,(768) 208-5781
272,Green Grocers Store 19,7493 Lake Road Apt 483,(950) 987-7375
273,Organic Foods Store Store 19,Cedar Valley Farm - 2108 County Road 453,(342) 809-6353
274,Farm to Table Market Store 19,Silver Lake Farm - 8793 County Road 69,(860) 393-4212
275,Nature's Basket Store 19,Distribution Center I - 7770 Washington Street,(805) 289-9542
276,Healthy Harvest Store 19,4829 Fourth Road,(536) 463-6671
277,Pure Foods Market Store 19,Processing Center I - 8062 Oak Road,(481) 700-4906
278,Local Farmers Market Store 19,6046 Church Lane,(771) 608-6017
279,Eco Market Store 19,Fulfillment Center Q - 8960 Market Street,(597) 473-1143
280,Country Fresh Store Store 19,Highland Farm - 1178 County Road 364,(483) 958-3626
281,Harvest Market Store 19,Rolling Hills Farm - 4138 County Road 49,(373) 121-7665
282,Green Valley Grocery Store 19,Regional Warehouse R - 3925 Washington Road,(782) 358-7126
283,Sustainable Foods Co Store 19,Windmill Farm - 8902 County Road 226,(176) 768-8351
284,Farm Fresh Market Store 19,Riverside Farm - 8904 County Road 260,(395) 552-2636
285,Natural Choice Store Store 19,9715 Fourth Way Apt 343,(498) 634-9572
286,Fresh Market Store 20,Distribution Center D - 2306 Washington Avenue,(664) 428-3577
287,Green Grocers Store 20,Fulfillment Center B - 2157 First Lane,(780) 100-6605
288,Organic Foods Store Store 20,Windmill Farm - 5498 County Road 51,(380) 493-2459
289,Farm to Table Market Store 20,Countryside Farm - 8795 County Road 327,(501) 756-2849
290,Nature's Basket Store 20,Storage Facility L - 6177 Hill Lane,(570) 259-1542
291,Healthy Harvest Store 20,Storage Facility M - 5745 Pine Court,(730) 779-4366
292,Pure Foods Market Store 20,369 Lake Road Apt 15,(667) 620-3111
293,Local Farmers Market Store 20,Regional Warehouse P - 3817 River Avenue,(914) 318-5017
294,Eco Market Store 20,5678 First Avenue Apt 119,(147) 242-2630
295,Country Fresh Store Store 20,1289 First Way,(882) 955-7369
296,Harvest Market Store 20,Logistics Hub R - 4509 Oak Drive,(255) 411-5484
297,Green Valley Grocery Store 20,Maple Grove Farm - 1806 County Road 289,(978) 368-4005
298,Sustainable Foods Co Store 20,Regional Warehouse H - 5579 Washington Circle,(142) 579-6015
299,Farm Fresh Market Store 20,Logistics Hub T - 7563 Second Avenue,(443) 544-7008
300,Natural Choice Store Store 20,Mountain View Farm - 6536 County Road 227,(567) 351-3526
301,Fresh Market Store 21,Fulfillment Center Q - 386 Market Avenue,(384) 374-1405
302,Green Grocers Store 21,Countryside Farm - 9610 County Road 28,(495) 717-8549
303,Organic Foods Store Store 21,726 Oak Boulevard,(774) 670-5403
304,Farm to Table Market Store 21,Rolling Hills Farm - 6570 County Road 364,(603) 892-9651
305,Nature's Basket Store 21,9818 Fourth Circle,(914) 863-5789
306,Healthy Harvest Store 21,Pleasant Hill Farm - 4295 County Road 113,(881) 730-1039
307,Pure Foods Market Store 21,Oakwood Farm - 2534 County Road 230,(881) 675-2376
308,Local Farmers Market Store 21,3728 Washington Drive Apt 285,(738) 242-9872
309,Eco Market Store 21,3853 Second Circle,(584) 555-9689
310,Country Fresh Store Store 21,9854 School Court,(712) 848-8122
311,Harvest Market Store 21,Processing Center I - 1352 Hill Circle,(506) 332-5086
312,Green Valley Grocery Store 21,Spring Valley Farm - 4367 County Road 453,(644) 849-5581
313,Sustainable Foods Co Store 21,Riverside Farm - 2079 County Road 333,(537) 439-6782
314,Farm Fresh Market Store 21,Storage Facility Y - 5533 First Avenue,(909) 364-1555
315,Natural Choice Store Store 21,2402 Market Way,(795) 541-2331
316,Fresh Market Store 22,7636 Park Place,(658) 169-1159
317,Green Grocers Store 22,Storage Facility P - 7308 Elm Place,(774) 366-2844
318,Organic Foods Store Store 22,Blue Sky Farm - 6270 County Road 405,(488) 707-6637
319,Farm to Table Market Store 22,6212 Church Circle,(259) 652-3458
320,Nature's Basket Store 22,9478 First Boulevard,(386) 683-1572
321,Healthy Harvest Store 22,8472 Fourth Court Apt 117,(547) 993-8024
322,Pure Foods Market Store 22,Red Barn Farm - 2726 County Road 111,(322) 516-1953
323,Local Farmers Market Store 22,1627 Third Way,(860) 195-1018
324,Eco Market Store 22,1345 Maple Way,(232) 723-4273
325,Country Fresh Store Store 22,3290 Lake Way Apt 347,(972) 928-4518
326,Harvest Market Store 22,122 Hill Boulevard,(705) 405-9997
327,Green Valley Grocery Store 22,Logistics Hub U - 7458 Pine Court,(116) 725-7226
328,Sustainable Foods Co Store 22,Supply Chain Hub N - 5003 Park Circle,(968) 623-1415
329,Farm Fresh Market Store 22,Heritage Farm - 7090 County Road 245,(895) 338-6154
330,Natural Choice Store Store 22,Riverside Farm - 3412 County Road 52,(336) 900-2763
331,Fresh Market Store 23,9235 Fourth Court Apt 160,(970) 946-4237
332,Green Grocers Store 23,4949 Elm Avenue,(744) 496-7753
333,Organic Foods Store Store 23,Supply Chain Hub J - 5090 Second Drive,(168) 438-6457
334,Farm to Table Market Store 23,Regional Warehouse Y - 3387 Market Circle,(560) 522-4851
335,Nature's Basket Store 23,Sunny Meadow Farm - 7573 County Road 41,(111) 904-2405
336,Healthy Harvest Store 23,Harvest Moon Farm - 6401 County Road 396,(557) 934-4471
337,Pure Foods Market Store 23,Supply Chain Hub W - 2933 Park Court,(527) 124-6597
338,Local Farmers Market Store 23,Supply Chain Hub L - 5718 Maple Court,(894) 930-7665
339,Eco Market Store 23,1687 High Street,(732) 393-9268
340,Country Fresh Store Store 23,Sunset Farm - 6574 County Road 481,(507) 100-5243
341,Harvest Market Store 23,2030 Pine Road,(883) 440-5732
342,Green Valley Grocery Store 23,1343 Valley Road,(266) 387-1383
343,Sustainable Foods Co Store 23,Distribution Center E - 1548 High Street,(663) 948-8279
344,Farm Fresh Market Store 23,Green Valley Farm - 4936 County Road 331,(717) 304-9647
345,Natural Choice Store Store 23,8238 Maple Road,(877) 612-4507
346,Fresh Market Store 24,Red Barn Farm - 1531 County Road 317,(842) 305-8897
347,Green Grocers Store 24,3747 Elm Road Apt 401,(560) 495-7881
348,Organic Foods Store Store 24,Regional Warehouse V - 8433 Park Lane,(223) 306-7141
349,Farm to Table Market Store 24,9450 Elm Street,(108) 297-9477
350,Nature's Basket Store 24,Distribution Center F - 5199 Church Way,(637) 469-1341
351,Healthy Harvest Store 24,Processing Center N - 898 First Way,(151) 345-2083
352,Pure Foods Market Store 24,Logistics Hub N - 2414 School Lane,(590) 890-2101
353,Local Farmers Market Store 24,Rolling Hills Farm - 3548 County Road 180,(455) 256-8471
